<<<<<<< HEAD
20:12:23.376 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-09-2020:46:50.865 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - No active profile set, falling back to 1 default profile: "default"
2023-09-2020:46:51.039 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-09-2020:46:51.047 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 2 JPA repository interfaces.
2023-09-2020:46:51.220 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-09-2020:46:51.221 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-09-2020:46:51.222 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-09-2020:46:51.224 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
2023-09-2020:46:51.249 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-09-2020:46:51.249 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 382 ms
2023-09-2020:46:51.310 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-09-2020:46:51.317 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2023-09-2020:46:51.354 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2023-09-2020:46:51.354 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-09-2020:46:51.488 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-09-2020:46:51.490 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-09-2020:48:10.866 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3abafd83, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@55f14a8e, org.springframework.security.web.context.SecurityContextPersistenceFilter@409ab9ca, org.springframework.security.web.header.HeaderWriterFilter@74ff66b2, org.springframework.security.web.authentication.logout.LogoutFilter@425e1f1, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@113bac3c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3fe86675, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@30ad4dcc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2fb98f62, org.springframework.security.web.session.SessionManagementFilter@30823d4a, org.springframework.security.web.access.ExceptionTranslationFilter@8defa66, org.springframework.security.web.access.intercept.AuthorizationFilter@229b052f]
2023-09-2020:48:10.881 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-09-2020:48:11.006 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-09-2020:48:11.012 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-09-2020:48:11.015 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-09-2020:48:11.020 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - Started PdtSalesApplication in 80.185 seconds (JVM running for 616.668)
2023-09-2020:48:11.022 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2023-09-2020:48:12.408 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-09-2020:48:12.423 [Thread-7] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2023-09-2020:48:12.423 [Thread-7] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2023-09-2020:48:12.425 [Thread-7] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2023-09-2020:48:12.426 [Thread-7] INFO  o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
2023-09-2020:48:12.428 [Thread-7] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-09-2020:48:12.428 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2023-09-2020:48:12.438 [Thread-7] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2023-09-20 20:48:12.527 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - Starting PdtSalesApplication using Java 17.0.8 on Starlight with PID 28711 (/root/NTU_PDT_SALES_API/pdt_sales/target/classes started by root in /root/NTU_PDT_SALES_API/pdt_sales)
2023-09-20 20:48:12.528 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - No active profile set, falling back to 1 default profile: "default"
2023-09-20 20:48:12.756 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-09-20 20:48:12.764 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 2 JPA repository interfaces.
2023-09-20 20:48:12.935 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-09-20 20:48:12.938 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-09-20 20:48:12.939 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-09-20 20:48:12.939 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
2023-09-20 20:48:12.945 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-09-20 20:48:12.945 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 414 ms
2023-09-20 20:48:12.988 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-09-20 20:48:12.992 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
2023-09-20 20:48:13.020 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
2023-09-20 20:48:13.020 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-09-20 20:48:13.098 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-09-20 20:48:13.099 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-09-20 20:49:28.261 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@262b7493, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@d4a0d97, org.springframework.security.web.context.SecurityContextPersistenceFilter@27d97691, org.springframework.security.web.header.HeaderWriterFilter@9a148c3, org.springframework.security.web.authentication.logout.LogoutFilter@60a27c81, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@559e5cd5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1285714, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@24cf0a2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@22ea690e, org.springframework.security.web.session.SessionManagementFilter@7a9e9ffe, org.springframework.security.web.access.ExceptionTranslationFilter@3ec3029c, org.springframework.security.web.access.intercept.AuthorizationFilter@465d2a4a]
2023-09-20 20:49:28.271 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-09-20 20:49:28.355 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-09-20 20:49:28.361 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-09-20 20:49:28.363 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-09-20 20:49:28.367 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - Started PdtSalesApplication in 75.875 seconds (JVM running for 694.015)
2023-09-20 20:49:28.368 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2023-09-20 20:51:00.342 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-09-20 20:51:00.342 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-09-20 20:51:00.343 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-09-20 20:51:00.344 [http-nio-8080-exec-2] INFO  c.p.p.R.LoggingFilter - Request Method: POST; Resource: all sales records
2023-09-20 20:51:16.938 [http-nio-8080-exec-3] INFO  c.p.p.R.LoggingFilter - Request Method: DELETE; Resource: salesID:29482
2023-09-20 20:53:40.787 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-09-20 20:53:40.788 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown initiated...
2023-09-20 20:53:40.802 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown completed.
2023-09-20 21:02:54.113 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-09-20 21:02:54.125 [restartedMain] INFO  c.p.pdt_sales.PdtSalesApplication - Starting PdtSalesApplication using Java 17.0.8 on Starlight with PID 44026 (/root/NTU_PDT_SALES_API/pdt_sales/target/classes started by root in /root/NTU_PDT_SALES_API/pdt_sales)
